word,pos,meaning,example,match_id,is_same
á kim,d,"tên gọi chung các đơn chất không có ánh kim, dẫn điện và dẫn nhiệt kém [nguyên tố không phải là kim loại]","#oxygen, lưu huỳnh là các nguyên tố á kim",oewn-14651424-n,True
á nguyên,d,người đỗ thứ hai trong một khoa thi thời phong kiến [thường nói về thi hương],,oewn-10562614-n,False
á nhiệt đới,d,cận nhiệt đới,,oewn-08692082-n,True
á phiện,d,thuốc phiện,"#""Có bốn món buôn lãi nhất ở Đông Nam Á là vàng, kim cương, á phiện và rượu thì Quang đều buôn cả."" (Nguyễn Khải; 9)",oewn-03856486-n,True
á quân,d,danh hiệu dành cho đơn vị thể thao đứng thứ nhì [đoạt huy chương bạc] trong một giải thi đấu thể thao,#trận đấu giữa đội đương kim vô địch với đội á quân,oewn-10562614-n,True
á sừng,d,"bệnh ngoài da, thường ở lòng bàn tay, lòng bàn chân, có từng đám da dày lên gây ngứa và đau",,oewn-14251630-n,True
á thánh,d,"danh hiệu người đời tặng cho bậc có vốn hiểu biết rộng, có phẩm chất đạo đức cao, đứng sau bậc thánh trong nho giáo","#Mạnh Tử được người đời xếp vào hàng á thánh, sau Khổng Tử",oewn-10565759-n,True
ác,d,quạ,"#gửi trứng cho ác (tng) #""Đau đớn thay cho cây quế giữa rừng, Để ác đen nó đậu đau lòng quế thay."" (Cdao)",oewn-01581669-n,True
ác,d,miếng gỗ đẽo hình con quạ để mắc dây go trong khung cửi,,oewn-03537852-n,False
ác,d,mặt trời,"#""Trải bao thỏ lặn ác tà, Ấy mồ vô chủ ai mà viếng thăm!"" (TKiều)",oewn-09473312-n,True
ác bá,d,"kẻ có nhiều tội ác, dựa vào quyền thế đè nén, áp bức nông dân cả một vùng","#bọn cường hào ác bá #""Đôi vợ chồng (...) đi làm ruộng thuê cho những tên địa chủ ác bá giàu nứt đố đổ vách (...)"" (Đoàn Giỏi; 4)",oewn-10399457-n,True
ác cảm,d,"có cảm giác không ưa, phần nào thấy ghét","#""Nhìn vẻ mặt người đàn ông đó tôi đã có ác cảm ngay, và tôi lại ghét người đó hơn nữa khi chạy lại nắm tay tôi."" (Mạnh Phú Tư; 1) #""Ông trời hay nghịch ranh, cái gì mình ác cảm nó lại buộc chặt vào mình, bởi thế, thành một cái ách."" (Tô Hoài; 28)",oewn-07516784-n,True
ác là,d,"chim cỡ vừa, đuôi dài, lông đen, riêng bụng và vai có lông trắng, hay đi kiếm ăn trên ruộng",,oewn-01505702-n,False
ác mỏ,d,con vẹt; thường dùng để ví người cay nghiệt,#quằm quặm như con ác mỏ (tng),oewn-10778005-n,False
ác mộng,d,"giấc mơ dữ, thấy những điều không lành đáng sợ; cũng dùng để chỉ tai hoạ lớn đã trải qua, nghĩ đến còn thấy ghê sợ, tưởng như thực như hư","#gặp ác mộng #""Giấc ngủ của nó có lẽ đầy ác mộng vì thỉnh thoảng khắp mình nó lại giật lên."" (Nam Cao; 1)",oewn-05777059-n,False
ác nghiệp,d,"hậu quả sẽ phải gánh chịu ở kiếp sau do tội ác ở kiếp này tạo nên, theo quan niệm của đạo Phật","#""Làm cho thảm thiết đoạ đày, Cho bõ lại ngày ác nghiệp dương gian!"" (BCB)",oewn-07344962-n,True
ác nhân,d,"kẻ làm điều ác, kẻ xấu","#""Dưới hoa dậy lũ ác nhân, Ầm ầm khốc quỷ kinh thần mọc ra."" (TKiều)",oewn-10773214-n,True
ác ôn,d,"kẻ có quyền lực ở địa phương, có nhiều tội ác đối với nhân dân, đáng nguyền rủa [ví như ôn dịch]","#""Tôi biết chú có đi lính nguỵ, biết chú chỉ là lính chụp hình, không phải ác ôn."" (Nguyễn Quang Sáng; 18)",oewn-10755221-n,False
ác quả,d,hậu quả tai hại,#không chịu nghe lời khuyên bảo nên bây giờ mới chịu ác quả,oewn-05172372-n,True
ác quỷ,d,quỷ dữ,"#""Búa đồng chàng mới giang ra, Bao nhiêu ác quỷ bấy giờ liền tan."" (TS)",oewn-09565450-n,True
ác tăng,d,"sư không phải chân tu, làm nhiều điều ác",,oewn-10221154-n,False
ác tâm,d,lòng dạ độc ác,"#""(...) chúng nó hỗn láo quá lắm, chứ nào phải anh em con ác tâm, mà muốn chúng không được ăn Tết!"" (Vũ Trọng Phụng; 10)",oewn-07565835-n,True
ác tật,d,bệnh đau đớn và khó chữa,,oewn-14236681-n,False
ác thần,d,"thần chuyên làm điều ác hại người, theo mê tín",#đeo bộ mặt ác thần,oewn-09565450-n,True
ác thú,d,"thú dữ, ăn thịt người","#con ác thú #""Có ngục ác thú một bầy, Hổ lang ưng khuyển cắn nhay ruột rà."" (BCB)",oewn-09910531-n,False
ác vàng,d,mặt trời,"#""Lần lần thỏ bạc ác vàng, Xót người trong hội đoạn tràng đòi cơn!"" (TKiều)",oewn-09473312-n,True
ác ý,d,dụng ý xấu,"#nói vui, không có ác ý gì #""Thuỳ Dương nhìn anh một lúc lâu. Rồi chị mỉm cười, nụ cười giễu cợt nhưng không hàm chút ác ý nào (...)"" (Hồng Nhu; 2)",oewn-07565835-n,True
ách,d,"đoạn gỗ cong mắc trên vai trâu bò để buộc dây kéo cày, kéo xe",,oewn-04620197-n,True
ách,d,"điều rắc rối hoặc tai hoạ, sự khốn khổ phải gánh chịu","#ách nô lệ #""Ông Trời hay nghịch ranh, cái gì mình ác cảm nó lại buộc chặt vào mình, bởi thế, thành một cái ách."" (Tô Hoài; 28)",oewn-07351363-n,True
ách tắc,d,"sự tắc nghẽn, sự khó khăn trở ngại",#công việc đang gặp ách tắc #ách tắc luôn xảy ra trong giờ cao điểm,oewn-01076422-n,True
ách vận,d,vận không may,"#gặp ách vận #""Khôn hay ách vận ở trời, Nước Văn Lang bỗng bời bời đao binh."" (TNNL)",oewn-07319470-n,True
ai điếu,d,bài văn viếng người chết để bày tỏ lòng thương tiếc,"#đọc ai điếu #""Phường bát âm tò te tí tò te bài ai điếu tiễn đưa người quá cố xuống mồ thống thiết."" (Hữu Ước; 1)",oewn-06391191-n,True
ải,d,nơi hiểm trở ở biên giới hoặc trên đường tiến vào một nước,"#ải Chi Lăng #""Ngoài ải, non cao rừng hiểm, miền ấy rất dễ mai phục (...)"" (HLNTC)",oewn-08518135-n,False
ải,d,bước thử thách hoặc trở ngại lớn cần phải vượt qua,#phải qua biết bao nhiêu ải mới xin được chữ kí,oewn-07302435-n,True
ải quan,d,cửa ải,"#""Xảy nghe tin giặc Ô Qua, Phủ vây quan ải, quân ba bốn ngàn."" (LVT)",oewn-03390857-n,True
ái ân,d,tình yêu nam nữ thắm thiết,"#""Bây giờ trâm gãy gương tan, Kể làm sao xiết muôn vàn ái ân!"" (TKiều)",oewn-07503480-n,True
ái hữu,d,hội ái hữu [nói tắt],"#""Các đồng chí ấy về hỏi thể lệ lập ái hữu trong các làng tơ cửi (...)"" (Tô Hoài; 30)",oewn-08244135-n,False
ái khanh,d,từ vua chúa dùng để gọi âu yếm người đàn bà mình yêu hoặc bề tôi thân cận khi nói với người ấy,,oewn-09869006-n,False
ái nữ,d,từ dùng để gọi tôn con gái của người có địa vị cao,#cùng đi với ngài tổng thống có phu nhân và ái nữ,oewn-10493649-n,True
ái nương,d,từ dùng để gọi người phụ nữ mà mình yêu [thường là vợ hoặc tình nhân] khi nói với người ấy,"#""Ô hay! ái nương lạ lùng thực. Sao lại gọi tôi là ông? Tôi là chồng ái nương, tôi là con rể chúa thượng."" (Nguyễn Huy Tưởng; 2)",oewn-10702400-n,True
ái phi,d,từ vua chúa dùng để gọi người cung phi mà mình yêu quý,"#""Ta là chúa tể nhân gian, cầm quyền thiên hạ, chỉ trừ có trời, còn cái gì ta không cho ái phi được?"" (Nguyễn Huy Tưởng; 2)",oewn-09971872-n,False
ái tình,d,tình yêu nam nữ,"#""Tôi muốn lấy chồng vì ái tình chứ không muốn lấy chồng vì bổn phận! Tôi muốn rằng anh lấy tôi thì ít cũng phải vì... yêu."" (Vũ Trọng Phụng; 4)",oewn-07558676-n,False
am,d,"chùa nhỏ, miếu nhỏ","#""Gửi thân được chốn am mây, Muối dưa đắp đổi, tháng ngày thong dong."" (TKiều)",oewn-03521097-n,True
ám,d,"món ăn nấu nguyên cả con cá hoặc khúc cá to đã được rán vàng với gạo, nhiều nước và các thứ rau thơm",#nấu món ám #cháo ám,oewn-07607044-n,False
ám hiệu,d,tín hiệu để ngầm liên lạc với nhau,"#""Trong bóng đêm ánh lửa nhấp nháy ba cái một. Thực đúng ám hiệu rồi."" (Nguyễn Đình Lạp; 1)",oewn-07178639-n,True
ám tả,d,môn học chính tả bằng cách tập viết đúng từng chữ của bài đọc,"#môn ám tả #""Ông huyện khoanh tay ngồi đọc như một ông giáo đọc ám tả cho học trò."" (Vũ Trọng Phụng; 15)",oewn-06398975-n,True
an dưỡng đường,d,"nhà an dưỡng, trại an dưỡng",,oewn-04140580-n,False
an ninh,d,"tình hình trật tự xã hội bình thường, yên ổn, không có rối loạn","#an ninh được đảm bảo #giữ gìn an ninh, trật tự",oewn-14562870-n,True
an toàn,d,"điều kiện bảo đảm để không xảy ra sự cố hay nguy hiểm, nói chung",#tuân thủ các điều kiện về an toàn giao thông,oewn-14562074-n,True
an toàn khu,d,vùng căn cứ cách mạng được bảo vệ tốt; khu an toàn,"#""Ban ngày, tàu bay nó không ngớt dòm ngó những rừng an toàn khu và kiểm soát các đường chính."" (Nguyễn Tuân; 6)",oewn-04348013-n,False
an toàn lao động,d,tình trạng điều kiện lao động không gây ra sự nguy hiểm trong sản xuất,#bảo đảm an toàn lao động,oewn-14562074-n,True
án,d,vụ phạm pháp hoặc tranh chấp quyền lợi cần được xét xử trước toà án,"#vụ án chưa xử #""(...) cái lão chánh hội ăn cướp ấy cố nhiên tìm cách bưng bít cái án giết vợ kia (...)"" (Nam Cao; 24)",oewn-01185144-n,True
án,d,bản án [nói tắt],#nhận án tử hình #làm đơn xin giảm án,oewn-01191772-n,True
án,d,án sát [gọi tắt],#quan án,oewn-08183086-n,False
án mạng,d,vụ phạm tội làm chết người,"#""Các ông ơi, các ông có lại mau không, để họ đánh nhau thành án mạng bây giờ."" (Nguyễn Công Hoan; 4)",oewn-00220890-n,True
án phí,d,toàn bộ các khoản chi phí cho việc xét xử một vụ kiện mà đương sự phải chịu,#nộp án phí,oewn-13343014-n,True
án sát,d,chức quan tỉnh đứng đầu cơ quan tư pháp thời phong kiến,,oewn-10484694-n,True
án thư,d,"bàn hẹp và dài kiểu cổ, thời xưa dùng để đọc sách và viết",,oewn-03184367-n,False
án tích,d,"vụ án từng được xét xử [thường nói về người, việc có liên quan]","#""Mới ba mươi hai tuổi mà án tích của Năm kê chật một tờ giấy trong Sở liêm phóng."" (Nguyên Hồng; 1)",oewn-06502164-n,True
án treo,d,án tù chỉ thi hành nếu trong thời gian quy định người bị kết án lại phạm tội và bị xử kết án lần nữa,#được hưởng án treo,oewn-01260931-n,True
án từ,d,hồ sơ một vụ án,"#""Những người thuộc phái bảo hoàng và những người thuộc phái bảo thủ bị hắn trừng phạt rất dã man, không cần xét xử, không cần án từ gì cả."" (Hồ Chí Minh; 5)",oewn-06797823-n,False
ang,d,"đồ dùng đựng nước thời trước, làm bằng đất nung, thành hơi phình, miệng rộng","#ang sành #""Nhà có hai cái ang rất to, mỗi ang đổ bốn gánh nước chưa đầy."" (Nguyễn Khải; 8)",oewn-04500676-n,True
ang,d,"dụng cụ đong lường thời trước bằng gỗ hoặc đan bằng tre, hình hộp, dung tích khoảng bảy tám lít, dùng ở một số địa phương để đong chất hạt rời",#một ang gạo,oewn-03739135-n,True
ảng,d,"đồ dùng đựng nước thời trước, làm bằng đất nung, miệng rộng, thân thấp, thường có ba chân","#""Trong buổi chạng vạng, tôi nhìn thấy những cọng bún trắng nõn thòng xuống miệng ảng."" (Anh Đức; 11)",oewn-04523411-n,False
áng,d,từ dùng để chỉ từng đơn vị thuộc loại sự vật được coi là có vẻ đẹp rực rỡ,"#một áng văn kiệt tác #""Lòng còn gửi áng mây vàng, Hoạ vần, xin hãy chịu chàng hôm nay."" (TKiều)",oewn-03437882-n,True
anh,d,"người con trai cùng một thế hệ trong gia đình, trong họ, nhưng thuộc hàng trên [sinh trước, là con nhà bác, v.v.; có thể dùng để xưng gọi]",#anh ruột #anh vợ #người anh con bác #chú lại đây anh bảo!,oewn-09895920-n,False
anh,d,"từ dùng để chỉ hoặc gọi người đàn ông còn trẻ, hoặc người đàn ông cùng tuổi hoặc vai anh mình",#anh thanh niên #anh giải phóng quân,oewn-09896590-n,False
anh,d,"từ phụ nữ dùng để gọi chồng, người yêu hoặc người đàn ông dùng để tự xưng khi nói với vợ, người yêu","#""Chồng gì anh, vợ gì tôi, Chẳng qua là cái nợ đời chi đây!"" (Cdao)",oewn-10308177-n,False
anh,d,"từ dùng để gọi người đàn ông thuộc thế hệ sau mình [như cha mẹ gọi con rể hoặc con trai đã trưởng thành, theo cách gọi của những con còn nhỏ tuổi của mình] với ý coi trọng",,oewn-10620859-n,False
anh chàng,d,người trai trẻ [hàm ý coi thường hoặc bông đùa],"#một anh chàng vui tính #""Ừ, anh chàng khoẻ thì có khoẻ đấy, nhưng đâu có thể làm gì nổi tôi."" (Tô Hoài; 8)",oewn-10172934-n,False
anh chị,d,đàn anh sừng sỏ trong bọn lưu manh,"#""Một ngày kia Minh trở nên anh chị, cũng năm bảy lần tù, tay Minh cũng từng phen đẫm máu (...)"" (Nguyên Hồng; 1)",oewn-10139742-n,True
anh chị em,d,"những người còn trẻ, gồm cả nam lẫn nữ, có quan hệ ruột thịt hoặc gần gũi như ruột thịt [nói tổng quát]",#nhà có ba anh chị em #các anh chị em trong cơ quan,oewn-09895920-n,False
anh đào,d,"cây to vùng ôn đới cùng họ với hoa hồng, quả có vỏ nhẵn bóng, màu đỏ hoặc vàng nhạt, vị ngọt, ăn được",#hoa anh đào,oewn-12662174-n,True
anh em,d,những người cùng một thế hệ có quan hệ ruột thịt hoặc họ hàng với nhau [nói khái quát],"#nhà có hai anh em #""Anh em nào phải người xa, Cùng chung bác mẹ một nhà cùng thân."" (Cdao)",oewn-10614572-n,False
anh em,d,"những người có quan hệ gần gũi, thân thiết, coi nhau như người thân trong nhà [nói khái quát]",#anh em bạn bè #các dân tộc anh em,oewn-07515281-n,False
anh em cọc chèo,d,"những người cùng làm rể một gia đình, có vợ là chị em ruột, trong quan hệ với nhau",,oewn-09896754-n,False
anh em đồng hao,d,"những người cùng làm rể một gia đình, có vợ là chị em ruột, trong quan hệ với nhau",,oewn-09896754-n,False
anh em thúc bá,d,anh em con chú con bác,,oewn-09991540-n,True
anh hào,d,"anh hùng, hào kiệt [nói chung]","#""Đường đường một đấng anh hào, Côn quyền hơn sức, lược thao gồm tài."" (TKiều)",oewn-10344679-n,True
anh hoa,d,"cái đẹp đẽ, tốt đẹp; cái tinh hoa [của một con người]","#""Anh hoa phát tiết ra ngoài, Nghìn thu bạc mệnh một đời tài hoa."" (TKiều)",oewn-04736044-n,False
anh hùng,d,"nhân vật thần thoại có sức mạnh và dũng khí phi thường, lập nên những kì tích đặc biệt [thường có trong truyện thần thoại Hi Lạp]",,oewn-10192757-n,True
anh hùng,d,"người có tài năng và dũng khí hơn hẳn người thường, làm nên những việc được người đời ca tụng","#vị anh hùng dân tộc #""Anh hùng tiếng đã gọi rằng, Giữa đường dẫu thấy bất bằng mà tha!"" (TKiều)",oewn-10344679-n,True
anh hùng,d,danh hiệu vinh dự cao nhất của nhà nước Việt Nam [cũng như một số nhà nước khác] tặng thưởng cho người hoặc đơn vị có thành tích và cống hiến đặc biệt xuất sắc trong chiến đấu hoặc lao động,#anh hùng lực lượng vũ trang nhân dân #anh hùng lao động,oewn-10344679-n,False
anh hùng ca,d,"tác phẩm thơ trường thiên thời cổ đại, phản ánh những sự kiện lịch sử có ý nghĩa trọng đại hoặc lấy những truyền thuyết cổ đại làm nội dung, xây dựng những hình tượng anh hùng trứ danh, mang nhiều sắc thái ảo tưởng và thần thoại",#anh hùng ca <TXT_E>Iliad</TXT_E> và <TXT_E>Odyssey</TXT_E> của <TXT_E>Homer</TXT_E> #anh hùng ca Đam San của dân tộc Ê Đê,oewn-06391344-n,True
anh hùng ca,d,"tác phẩm trường thiên có giá trị lớn phản ánh tương đối toàn diện bộ mặt xã hội và sinh hoạt nhiều mặt của một thời kì lịch sử; dùng để ví thời kì lịch sử có nhiều sự kiện có ý nghĩa trọng đại, với nhiều sự tích anh hùng","#tác phẩm của ông đã tái hiện được bức tranh lịch sử hoành tráng, góp một tiếng ca hào sảng vào bản anh hùng ca của dân tộc",oewn-06391344-n,False
anh hùng rơm,d,"kẻ huênh hoang cố làm ra vẻ có khí phách, nhưng thực chất lại là hèn nhát","#""Anh hùng gì anh hùng rơm, Ta cho mớ lửa hết cơn anh hùng."" (Cdao)",oewn-05214620-n,True
anh kiệt,d,"anh hùng, hào kiệt [nói chung]","#""Đường đường một đấng anh hào, Côn quyền hơn sức, lược thao gồm tài."" (TKiều)",oewn-10344679-n,True
anh linh,d,linh hồn của người được tôn vinh,#nghiêng mình trước anh linh các liệt sĩ,oewn-00934969-n,False
anh nuôi,d,quân nhân làm cấp dưỡng trong quân đội,,oewn-09982799-n,False
anh quân,d,vua anh minh,,oewn-10251212-n,False
anh tài,d,người có tài năng và trí tuệ xuất chúng,"#""Thề không dung kẻ quyền gian, Vì dân trừ hại mới nên anh tài."" (NĐM)",oewn-10709374-n,False
anh thư,d,người phụ nữ anh hùng,"#""Đó là tiểu tiết. Công chúa là bậc anh thư, không nên câu nệ mới được."" (Nguyễn Huy Tưởng; 1)",oewn-10193081-n,True
anh trai,d,"anh ruột, phân biệt với anh họ, anh rể",#nhà có hai anh trai,oewn-09895920-n,True
anh túc,d,cây thuốc phiện,#hoa anh túc,oewn-11922858-n,True
anh vũ,d,con vẹt,,oewn-01819528-n,True
anh vũ,d,"cá thuộc họ cá chép, mình tròn, môi rất dày, sống ở nơi nước chảy",,oewn-01442155-n,True
anh vũ,d,"động vật thân mềm cùng họ với mực, nhưng thân ẩn trong vỏ xoắn như vỏ ốc",,oewn-01973308-n,False
ảnh,d,"hình người, vật, phong cảnh thu được bằng khí cụ quang học [như máy ảnh, camera, v.v.]",#chụp ảnh #kĩ thuật xử lí ảnh trên máy tính,oewn-03931348-n,True
ảnh,d,"hình của vật thu được hoặc nhìn thấy qua một hệ quang học như gương, thấu kính, v.v.",#ảnh ảo #ảnh thật,oewn-03937282-n,True
ảnh hưởng,d,"tác động [từ người, sự việc hoặc hiện tượng] có thể làm dần dần có những biến đổi nhất định trong tư tưởng, hành vi, hoặc trong quá trình phát triển ở sự vật hoặc người nào đó",#ảnh hưởng của phim ảnh đối với trẻ em #gây ảnh hưởng xấu,oewn-11434722-n,True
ánh,d,những tia sáng do một vật phát ra hoặc phản chiếu lại [nói tổng quát],"#ánh nắng #ánh đuốc #ánh mắt #""Hỡi cô tát nước bên đàng, Sao cô múc ánh trăng vàng đổ đi?"" (Cdao)",oewn-07427078-n,False
ánh,d,mảng ánh sáng có màu sắc,#có ánh xanh của lá cây #pha ánh hồng,oewn-08663763-n,False
ánh kim,d,vẻ sáng do kim loại phản chiếu ánh sáng sinh ra,,oewn-04961860-n,True
ánh sáng,d,"dạng vật chất do vật phát ra hoặc phản chiếu trên vật, nhờ nó mắt có thể cảm thụ mà nhìn thấy vật ấy","#ánh sáng mặt trời #""Cánh đồng trước mặt trông rõ dần trong ánh sáng trắng nhờ nhờ."" (Nguyễn Văn Bổng; 1)",oewn-11494354-n,True
ánh sáng,d,"sự soi sáng, sự hướng dẫn",#ánh sáng của khoa học #vụ việc đã được đưa ra ánh sáng (nêu ra công khai),oewn-01147389-n,False
ao,d,"chỗ đào sâu xuống đất, thường ở gần nhà, để giữ nước nuôi cá, thả bèo, trồng rau, v.v.","#""Màn trời gấm trải biết bao, Trên nhành chim hót dưới ao cá cười."" (LVT)",oewn-03988418-n,True
ao chuôm,d,"chỗ trũng có đọng nước, như ao, chuôm, v.v. [nói khái quát]","#trời mưa, ao chuôm đầy ắp nước #""(...) hắn đã để ý thám dò xem cái ao chuôm nào nhiều cá, ở xa thôn xóm và dân cư, thế là ban đêm hắn vác vó tới đặt..."" (Nguyễn Đình Lạp; 2)",oewn-03988418-n,True
ao tù,d,"ao đọng nước bẩn lâu ngày, không có chỗ chảy thoát","#lấp các ao tù #""(...) ngày tháng trôi qua, nhoi lên thoát khỏi ao tù, anh lại chỉ ngập đầu vào tầng tầng lớp lớp than đen (...)"" (Đào Vũ; 1)",oewn-04361365-n,False
ảo ảnh,d,"hình ảnh giống như thật, nhưng không có thật","#ảo ảnh quyền lực #""Trong đầu óc cô con gái mới lớn lên ấy, càng nói càng hiện lên những ảo ảnh mà sách báo và phim ảnh đã xây đắp cho cô."" (Đào Vũ; 1)",oewn-05948354-n,True
ảo ảnh,d,"hiện tượng quang học xảy ra ở các xứ nóng, khiến tưởng như nhìn thấy ở phía trước có nước, thường với những hình ảnh lộn ngược của những vật ở xa",,oewn-11504775-n,True
ảo đăng,d,đèn pha,,oewn-03509141-n,True
ảo giác,d,"tri giác không chính xác đối với sự vật khách quan do một nguyên nhân nào đó gây ra [như chiếc đũa đặt vào trong một bát nước, do có hiện tượng tia sáng khúc xạ nên thấy chiếc đũa như gãy gập]",#nhìn mặt trời thấy khi to khi nhỏ chỉ là ảo giác,oewn-05948354-n,True
ảo giác,d,"cảm giác sai lầm tưởng như nhìn thấy, hoặc nghe thấy, sờ thấy, v.v. cái thật ra không có gì cả [như nghe có tiếng người trong khi không có ai; thường là một hiện tượng bệnh lí hoặc trong trường hợp bị thôi miên]",,oewn-14401022-n,True
ảo mộng,d,"giấc mơ thấy những điều huyền ảo; thường dùng để ví cuộc đời với những cái thực mà như hư, cuối cùng chẳng có gì tồn tại, theo quan điểm yếm thế","#""Cảnh cơ hàn nơi nước đọng bùn lầy, Thú xán lạn mơ hồ trong ảo mộng."" (Thế Lữ; 2)",oewn-05640577-n,True
ảo mộng,d,điều mơ ước viển vông,#nuôi ảo mộng #chạy theo ảo mộng,oewn-05640577-n,True
ảo thuật,d,"nghệ thuật dùng những động tác nhanh nhẹn, khéo léo hoặc sử dụng những vật liệu, thiết bị đặc biệt tạo ra ở người xem cảm giác thấy những sự biến hoá kì lạ không lường được",#biểu diễn những trò ảo thuật #nhà ảo thuật,oewn-00100771-n,True
ảo thuật gia,d,nhà ảo thuật,,oewn-10300371-n,True
ảo tưởng,d,"sự tưởng tượng [hướng về tương lai], dựa trên mong muốn, ước mơ, thoát li hiện thực",#sống trong ảo tưởng #giấc mơ đầy ảo tưởng,oewn-05640291-n,True
ảo vọng,d,hi vọng hão huyền,"#một ảo vọng ngông cuồng #""Sự ước mong được gặp mặt chồng, Bính có biết đâu chỉ là ảo vọng (...)"" (Nguyên Hồng; 1)",oewn-05640577-n,True
áo,d,"đồ mặc từ cổ trở xuống, chủ yếu che lưng, ngực và bụng",#tà áo #áo rét (áo mặc mùa rét) #vạch áo cho người xem lưng (tng),oewn-03423924-n,True
áo,d,cái bọc bên ngoài một số đồ vật để che giữ,"#bánh gói thiếu lá áo #bóc lớp áo lụa của lạc #""(...) thức gì cũng trông gọn gàng, xinh xắn, từ cái áo gối trắng tinh ở góc thêu tên cô bằng chỉ màu, đến mấy chiếc ảnh con trên mặt hòm (...)"" (Đỗ Đức Thu; 2)",oewn-03127399-n,True
áo,d,"lớp chất bột, chất đường bọc ngoài một số loại bánh kẹo hoặc thuốc viên",#áo bánh gối #lớp đường làm áo,oewn-07636610-n,True
áo,d,lớp tráng ngoài đồ gốm để giữ cho khỏi bị rạn nứt khi đem nung,,oewn-04708387-n,True
áo ấm,d,"áo mặc mùa đông cho ấm, nói chung","#trời lạnh, phải mặc thêm áo ấm #""Một cặp vợ chồng mặc quần áo ấm to sù, chắc đi xem hát khuya về, ngồi sát cạnh nhau bên bếp nước dùng phở, lửa cháy bập bùng."" (Hữu Mai; 1)",oewn-03865015-n,True
áo ba lỗ,d,"áo lót, không có tay, cổ và nách được khoét rộng",,oewn-04230374-n,False
áo bào,d,"áo dài, tay rộng, người đàn ông quý tộc phong kiến ngày xưa thường mặc","#""Ngập ngừng gió thổi áo bào, Bãi hôm tuôn dẫy nước trào mênh mông."" (CPN)",oewn-03455460-n,False
áo bay,d,"bộ đồ mặc kín của phi công hay nhà du hành vũ trụ, bảo đảm các điều kiện sinh hoạt và khả năng làm việc trong khí quyển loãng hoặc trong không gian vũ trụ",,oewn-04008203-n,True
áo bay,d,"áo kiểu của phi công, may bằng vải đặc biệt, giống kiểu bờ lu dông","#""Thằng Thuận, mặc cái áo bay, kéo phéc mơ tuya, đứng ngẩn trước vẻ đẹp mạnh mẽ, trẻ trai của mình."" (Ma Văn Kháng; 7)",oewn-02871306-n,True
áo bìa,d,"bìa rời có in chữ và hình vẽ, bọc ngoài bìa cứng của cuốn sách",,oewn-07262988-n,True
